FRAME,NAME,MASS,VELOCITY,ACCELERATION,POSITION
15,Mars,6.39e+23,(-3305.32,23858.4,0),(-0.00253836,-0.000326251,0),(2.25613e+11,3.10972e+10,0)
16,Sun,1.989e+30,(0.0704899,0.0159556,0),(4.68887e-08,2.2545e-08,0),(52789.3,7874.6,0)
16,Mercury,3.285e+23,(-45761.1,18995.8,0),(-0.0192266,-0.038529,0),(2.08386e+10,5.13233e+10,0)
16,Venus,4.867e+24,(-15287.2,31744.6,0),(-0.0104637,-0.00469755,0),(9.68249e+10,4.68031e+10,0)
16,Earth,5.972e+24,(-8124.05,28726.6,0),(-0.00575998,-0.00152358,0),(1.43605e+11,4.06542e+10,0)
16,Mars,6.39e+23,(-3524.39,23828.3,0),(-0.00253552,-0.000349464,0),(2.25308e+11,3.3156e+10,0)
17,Sun,1.989e+30,(0.0744648,0.0180152,0),(4.60064e-08,2.3838e-08,0),(59223.1,9431.12,0)
17,Mercury,3.285e+23,(-47167.4,15532.2,0),(-0.0162763,-0.040087,0),(1.67633e+10,5.26652e+10,0)
17,Venus,4.867e+24,(-16180.1,31313,0),(-0.010334,-0.00499535,0),(9.54269e+10,4.95085e+10,0)
17,Earth,5.972e+24,(-8619.51,28586.3,0),(-0.00573445,-0.00162335,0),(1.4286e+11,4.31241e+10,0)
17,Mars,6.39e+23,(-3743.19,23796.1,0),(-0.00253246,-0.000372654,0),(2.24985e+11,3.5212e+10,0)
18,Sun,1.989e+30,(0.0783592,0.0201824,0),(4.50737e-08,2.50829e-08,0),(65993.3,11174.9,0)
18,Mercury,3.285e+23,(-48306.2,11954.3,0),(-0.0131813,-0.041412,0),(1.25897e+10,5.36981e+10,0)
18,Venus,4.867e+24,(-17061,30856,0),(-0.0101956,-0.00528972,0),(9.39529e+10,5.21745e+10,0)
18,Earth,5.972e+24,(-9112.61,28437.5,0),(-0.00570717,-0.00172272,0),(1.42073e+11,4.55811e+10,0)
18,Mars,6.39e+23,(-3961.71,23761.9,0),(-0.0025292,-0.00039582,0),(2.24643e+11,3.7265e+10,0)
19,Sun,1.989e+30,(0.0821689,0.0224527,0),(4.40941e-08,2.62764e-08,0),(73092.7,13114.8,0)
19,Mercury,3.285e+23,(-49166.9,8283.31,0),(-0.00996126,-0.0424878,0),(8.34164e+09,5.44138e+10,0)
19,Venus,4.867e+24,(-17929.2,30373.8,0),(-0.0100487,-0.00558042,0),(9.24038e+10,5.47988e+10,0)
19,Earth,5.972e+24,(-9603.2,28280.1,0),(-0.00567816,-0.00182166,0),(1.41243e+11,4.80245e+10,0)
19,Mars,6.39e+23,(-4179.94,23725.7,0),(-0.00252572,-0.000418961,0),(2.24281e+11,3.93149e+10,0)
20,Sun,1.989e+30,(0.0858903,0.0248214,0),(4.30713e-08,2.74154e-08,0),(80513.6,15259.3,0)
20,Mercury,3.285e+23,(-49740.4,4542.16,0),(-0.00663782,-0.0433003,0),(4.04407e+09,5.48062e+10,0)
20,Venus,4.867e+24,(-18784,29866.9,0),(-0.00989323,-0.00586716,0),(9.07809e+10,5.73792e+10,0)
20,Earth,5.972e+24,(-10091.1,28114.2,0),(-0.00564742,-0.00192014,0),(1.40371e+11,5.04535e+10,0)
20,Mars,6.39e+23,(-4397.84,23687.5,0),(-0.00252204,-0.000442073,0),(2.23901e+11,4.13615e+10,0)
21,Sun,1.989e+30,(0.0895199,0.0272835,0),(4.20095e-08,2.8497e-08,0),(88248.1,17616.6,0)
21,Mercury,3.285e+23,(-50019.9,754.614,0),(-0.00323456,-0.0438373,0),(-2.77646e+08,5.48714e+10,0)
21,Venus,4.867e+24,(-19624.6,29335.6,0),(-0.00972936,-0.0061497,0),(8.90853e+10,5.99138e+10,0)
21,Earth,5.972e+24,(-10576.3,27939.8,0),(-0.00561494,-0.00201812,0),(1.39457e+11,5.28675e+10,0)
21,Mars,6.39e+23,(-4615.41,23647.3,0),(-0.00251814,-0.000465156,0),(2.23503e+11,4.34046e+10,0)
22,Sun,1.989e+30,(0.0930548,0.0298339,0),(4.09132e-08,2.95191e-08,0),(96288.1,20194.3,0)
22,Mercury,3.285e+23,(-50000.6,-3054.69,0),(0.000223221,-0.0440892,0),(-4.5977e+09,5.46075e+10,0)
22,Venus,4.867e+24,(-20450.3,28780.2,0),(-0.00955719,-0.00642777,0),(8.73184e+10,6.24005e+10,0)
22,Earth,5.972e+24,(-11058.4,27757,0),(-0.00558076,-0.00211558,0),(1.38502e+11,5.52657e+10,0)
22,Mars,6.39e+23,(-4832.62,23605.1,0),(-0.00251404,-0.000488208,0),(2.23085e+11,4.54441e+10,0)
23,Sun,1.989e+30,(0.0964924,0.0324674,0),(3.9787e-08,3.04796e-08,0),(104625,22999.5,0)
23,Mercury,3.285e+23,(-49680.1,-6860.51,0),(0.00370885,-0.0440489,0),(-8.89006e+09,5.40147e+10,0)
23,Venus,4.867e+24,(-21260.5,28201.2,0),(-0.00937684,-0.00670111,0),(8.54815e+10,6.4837e+10,0)
